U0,I0,protocol_id,R,c,n_replicates,E_U,E_I,E_M1,E_mean
500,10,R4_c0.5_G2_M,4.0,0.5,120,0.009484312877983141,0.004651941225920968,0.0033891449067077186,0.011094099834396786
500,10,R4_c0.5_G2_F,4.0,0.5,120,0.008976575085924645,0.006003572071789898,0.004664304919323205,0.011763397395091323
500,10,R4_c0.5_G4_L,4.0,0.5,120,0.011003255510747186,0.00686388947697996,0.005204499928566676,0.013973955420475446
500,10,R4_c0.5_G4_M,4.0,0.5,120,0.007543337155417496,0.0051611508402064155,0.004282909241426476,0.010093697291179374
500,10,R4_c0.5_G4_F,4.0,0.5,120,0.010697431596949062,0.006169957100878132,0.005019900513112453,0.013330521916250214
500,10,R4_c0.75_G0.25_L,4.0,0.75,120,0.02293071063386071,0.010833647694473173,0.008171154188941017,0.026644946487491113
500,10,R4_c0.75_G0.25_M,4.0,0.75,120,0.010288861390503912,0.005390523228604115,0.004342910314872735,0.012400777370558292
500,10,R4_c0.75_G0.25_F,4.0,0.75,120,0.014236822603448902,0.007432176092986492,0.005616044726405758,0.01701365092178112
500,10,R4_c0.75_G0.5_L,4.0,0.75,120,0.01966985193454887,0.008152016087906503,0.006183755108157049,0.022171992888827582
500,10,R4_c0.75_G0.5_M,4.0,0.75,120,0.01241906618389986,0.004525347094444486,0.0035051946122776636,0.013674734384083025
500,10,R4_c0.75_G0.5_F,4.0,0.75,120,0.013861137975346762,0.006808086021169029,0.005310037320811406,0.01633026875442187
500,10,R4_c0.75_G1_L,4.0,0.75,120,0.0031681629729293057,0.002505467437914481,0.002613562755298679,0.004810959777567719
500,10,R4_c0.75_G1_M,4.0,0.75,120,0.010649441846076513,0.005067714455832751,0.0040454937369655665,0.01246829423035282
500,10,R4_c0.75_G1_F,4.0,0.75,120,0.004066381835183057,0.0026492644403545897,0.002723337014222049,0.005565126036080936
500,10,R4_c0.75_G2_L,4.0,0.75,120,0.016875076486829305,0.007134221347404282,0.0049303344441900725,0.018972968096786155
500,10,R4_c0.75_G2_M,4.0,0.75,120,0.013103822656377662,0.006937973996071918,0.005599552046427651,0.015849310221603297
500,10,R4_c0.75_G2_F,4.0,0.75,120,0.010680391271795597,0.004211702286642246,0.0037598500024646356,0.012080797403772171
500,10,R4_c0.75_G4_L,4.0,0.75,120,0.012680910959120856,0.005756684056770996,0.00467986684078515,0.01469170064118219
500,10,R4_c0.75_G4_M,4.0,0.75,120,0.012693198748373888,0.005049150460953459,0.0035394104466621593,0.014111649129460675
500,10,R4_c0.75_G4_F,4.0,0.75,120,0.010470655590508934,0.004738407575282381,0.0036298668490800786,0.012052512940735637
