analytical_table_id,configuration_sha256,R,R_zero_handling,c,m1_canonical_selected_qss,m1_zeroth_order,m1_first_order,accepted_depth,fixed_point_residual,bessel_cf_difference
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.1038,R>0; left boundary is R_to_0_plus limit,1.0,0.8984405501367467,0.8901557591335486,0.8987701497894574,40,4.440892098500626e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.12875,R>0; left boundary is R_to_0_plus limit,1.0,0.8987030885875971,0.8904559769957552,0.8990314432284633,40,5.551115123125783e-16,4.773959005888173e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.153699999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8989642466111727,0.8907545582660563,0.8992913582156493,40,6.661338147750939e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.17865,R>0; left boundary is R_to_0_plus limit,1.0,0.8992240352484622,0.891051516290522,0.8995499058782223,40,2.220446049250313e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.2036,R>0; left boundary is R_to_0_plus limit,1.0,0.899482465421352,0.8913468642705028,0.8998070972215997,40,5.551115123125783e-16,2.7755575615628914e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.22855,R>0; left boundary is R_to_0_plus limit,1.0,0.8997395479342378,0.8916406152645865,0.9000629431310985,40,7.771561172376096e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.253499999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8999952934756275,0.8919327821905225,0.9003174543735932,40,2.220446049250313e-16,2.7755575615628914e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.27845,R>0; left boundary is R_to_0_plus limit,1.0,0.9002497126197078,0.8922233778271155,0.900570641599149,40,1.1102230246251565e-16,3.3306690738754696e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.3034,R>0; left boundary is R_to_0_plus limit,1.0,0.9005028158278856,0.8925124148160888,0.900822515342626,40,5.551115123125783e-16,2.220446049250313e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.32835,R>0; left boundary is R_to_0_plus limit,1.0,0.900754613450303,0.892799905663917,0.9010730860252564,40,2.220446049250313e-16,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.353299999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.9010051157273367,0.8930858627436306,0.9013223639561981,40,2.220446049250313e-16,2.6645352591003757e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.37825,R>0; left boundary is R_to_0_plus limit,1.0,0.9012543327910603,0.8933702982965905,0.9015703593340594,40,5.551115123125783e-16,1.5543122344752192e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.4032,R>0; left boundary is R_to_0_plus limit,1.0,0.9015022746666919,0.8936532244342351,0.9018170822483994,40,4.440892098500626e-16,1.7763568394002505e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.428149999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.9017489512740138,0.8939346531397994,0.9020625426812061,40,1.3322676295501878e-15,2.7755575615628914e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.4531,R>0; left boundary is R_to_0_plus limit,1.0,0.9019943724287804,0.8942145962700067,0.9023067505083475,40,6.661338147750939e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.47805,R>0; left boundary is R_to_0_plus limit,1.0,0.9022385478440746,0.8944930655567337,0.9025497155009997,40,8.881784197001252e-16,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.503,R>0; left boundary is R_to_0_plus limit,1.0,0.9024814871316806,0.8947700726086499,0.9027914473270521,40,5.551115123125783e-16,1.5543122344752192e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.527949999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.9027231998034129,0.8950456289128301,0.9030319555524898,40,2.220446049250313e-16,2.1094237467877974e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.5529,R>0; left boundary is R_to_0_plus limit,1.0,0.9029636952724189,0.8953197458363429,0.9032712496427541,40,6.661338147750939e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.57785,R>0; left boundary is R_to_0_plus limit,1.0,0.9032029828544799,0.8955924346278131,0.9035093389640784,40,2.220446049250313e-16,1.4432899320127035e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.6028,R>0; left boundary is R_to_0_plus limit,1.0,0.903441071769274,0.8958637064189612,0.9037462327848068,40,3.3306690738754696e-16,2.9976021664879227e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.627749999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.9036779711416321,0.8961335722261172,0.903981940276688,40,7.771561172376096e-16,2.220446049250313e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.6527,R>0; left boundary is R_to_0_plus limit,1.0,0.90391369000276,0.896402042951713,0.9042164705161492,40,7.771561172376096e-16,8.881784197001252e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.67765,R>0; left boundary is R_to_0_plus limit,1.0,0.9041482372914649,0.8966691293857496,0.9044498324855517,40,2.220446049250313e-16,5.551115123125783e-16
